code,city,region,pop2025,pop2050,foreign_2024,foreign_share_pct,tax_2023_thousand,tax_estimated,tax_per_capita_yen,tax_2050_simple_thousand,representative_companies,special_industry,agriculture_products,famous_people
21217,飛騨市,飛騨圏域,20481,11268,266,1.2987647087544554,3610814,False,176300.66891265076,1986556,神岡鉱業、アルプス薬品工業、牧成舎,鉱業・非鉄金属、医薬品、乳製品、木工に加え、宇宙物理学研究施設を生かした科学観光が特徴。,飛騨牛、米、夏秋トマト、ほうれんそう、乳製品、山菜。,根尾昂（プロ野球選手）、船津伝次平（農業指導者）、茂住修身（書家）
21218,本巣市,岐阜圏域,31785,24186,933,2.93534686172723,5450941,False,171494.13245241466,4147757,レシップホールディングス、敷島産業、大型商業施設,電装機器、食品、商業、林業が共存。岐阜都市圏の住宅地域も含む。,富有柿、いちご、米、野菜。淡墨桜と根尾谷断層が代表的資源。,継体天皇（淡墨桜伝承の人物）、根尾谷断層を研究した地震学者（地域ゆかり）
21219,郡上市,中濃圏域,35540,21763,793,2.231288688801351,5063311,False,142467.9516038267,3100530,アサヒフォージ、食品サンプル関連事業者、スキー場・観光事業者,鍛造・機械、観光、食品サンプル、林業、アウトドア産業が中心。,夏だいこん、夏秋トマト、鮎、米、林産物。郡上おどりとスキー観光が有名。,佐藤良二（国鉄バス車掌・桜守）、凌霜隊（郡上藩の歴史的人物群）、郡上おどり保存関係者（地域文化）
21220,下呂市,飛騨圏域,27350,15154,960,3.510054844606947,4522117,False,165342.48628884827,2505600,ハウテック、温泉旅館・観光事業者、木材関連企業,下呂温泉を中心とする観光、住宅建材、木材、食品加工が地域を支える。,飛騨牛、夏秋トマト、米、しいたけ、木材。,ちゅうえい（お笑い芸人）、今井雅人（政治家）、下呂温泉ゆかりの文化人（地域ゆかり）
21221,海津市,西濃圏域,29903,17756,1291,4.317292579339865,4084046,False,136576.46389994316,2425052,工業団地・物流企業、食品・機械関連事業所,木曽三川の低平地に工業団地、物流施設、農業地域が広がる。,トマト、きゅうり、南濃みかん、米、麦。千代保稲荷と木曽三川公園が主要観光地。,大橋翠石（日本画家）、嶋聡（政治家・経営者）
21302,岐南町,岐阜圏域,26128,24133,882,3.3756889161053274,4296484,False,164439.83466013471,3968427,エスラインG、物流・卸売企業、国道沿線の商業事業者,国道21号・22号周辺に物流、卸売、小売、サービス業が集積。,徳田ねぎ、米、近郊野菜。,若山耀人（俳優）、地域出身のスポーツ選手（代表例）
21303,笠松町,岐阜圏域,21833,18063,561,2.5695048779370677,2876660,False,131757.4314111666,2379934,ジーエフシー、笠松競馬関連事業者,業務用食品、商業、サービス、競馬関連が特徴。岐阜・名古屋への交通利便性が高い。,米、野菜、花き。木曽川河川敷を活用したレジャーもある。,安藤勝己（元騎手）、オグリキャップ関係者（笠松競馬ゆかり）
21341,養老町,西濃圏域,24371,14417,830,3.4056870871117315,3498573,False,143554.75770382833,2069629,養老ミート、食肉・食品関連事業者、製造工場,食肉加工、食品、製造業と観光が中心。,米、野菜、ひょうたん、畜産。養老の滝・養老公園が観光の核。,鬼面山谷五郎（大相撲力士）、田中道麿（国学者）
21361,垂井町,西濃圏域,24949,18195,1051,4.212593691129905,3721850,False,149178.32378051223,2714300,ナブテスコ垂井工場、ユニチカ垂井事業所、グルマンマルセ,機械、鉄道・航空関連部品、繊維、食品製造が立地。,米、野菜、はちみつ。南宮大社と中山道垂井宿が代表的資源。,竹中半兵衛（戦国武将・垂井ゆかり）、高木守道（元プロ野球選手）
21362,関ケ原町,西濃圏域,5776,3105,193,3.3414127423822713,1259828,False,218114.26592797783,677245,関ケ原製作所、関ケ原石材,大型産業機械、石材、物流と歴史観光が中心。,伊吹在来そば、米、野菜。関ケ原古戦場が最大の観光資源。,石田三成（戦国武将・関ケ原ゆかり）、大谷吉継（戦国武将・関ケ原ゆかり）
21381,神戸町,西濃圏域,17590,11943,550,3.1267765776009093,2683261,False,152544.68447981807,1821841,三菱マテリアル岐阜製作所、工業団地企業,超硬工具、機械・金属などの製造業が地域雇用を支える。,ばら、小松菜、米、野菜。,日比野五鳳（書家）、ばら文化に関わる育種家（地域ゆかり）
21382,輪之内町,西濃圏域,8918,7289,495,5.550571877102489,1750714,False,196312.40188383046,1430921,未来工業、工業団地企業,電設資材、機械、物流と水田農業が共存する輪中地域。,米、麦、大豆、野菜。輪中の治水文化が特徴。,川瀬五作（陶芸家）、加納冨美子（舞踊教育者）
21383,安八町,西濃圏域,13892,10182,624,4.491793838180247,2136574,False,153798.87705154045,1565980,ギフハイテック、工業団地・物流企業,自動車部品、機械、物流が立地し、名古屋・大垣圏の交通条件を生かす。,米、野菜、梅。百梅園が地域資源。,安八町出身の文化・スポーツ関係者（郷土人物）、宝暦治水の先人（地域ゆかり）
21401,揖斐川町,西濃圏域,17295,9033,340,1.9658860942468923,3929581,False,227209.07776814108,2052380,西濃建設、製紙・セメント・水力関連事業者,建設、製紙、セメント、水力発電、林業が特徴。広大な山林とダムを持つ。,揖斐茶・春日茶、しいたけ、米、ジビエ、林産物。,所郁太郎（幕末の医師・地域ゆかり）、野原櫻州（日本画家）
21403,大野町,西濃圏域,20549,14650,525,2.554868850065697,2576936,False,125404.44790500755,1837175,工業団地の製造企業、食品・機械関連事業所,製造業と岐阜・大垣方面の住宅地としての性格を持つ。,富有柿、ばら、野菜、米。,所郁太郎（幕末の医師）、富有柿の普及に関わった先人（地域ゆかり）
21404,池田町,西濃圏域,21561,15679,787,3.6501089930893746,3128284,False,145089.93089374332,2274865,タニサケ、製造・食品関連事業所,防虫製品、製造業、観光が特徴。,揖斐茶、梅、ぶどう、米。池田山と温泉が観光資源。,堀島行真（フリースタイルスキー）、河村目呂二（彫刻家）
21421,北方町,岐阜圏域,18239,15217,668,3.662481495696036,2519059,False,138113.87685728385,2101679,大型小売・医療・サービス事業所,面積が小さく人口密度が高い住宅・商業地域。岐阜市への通勤圏。,近郊野菜、米。商業・医療サービスの比重が高い。,安東守就（戦国武将・北方城ゆかり）、戸田氏鉄（大名・地域ゆかり）
21501,坂祝町,中濃圏域,8114,6378,751,9.255607591816613,1087533,False,134031.67365048066,854854,自動車関連工場、物流・機械関連事業所,自動車部品、機械、物流の比重が高い工業の町。,米、野菜、果樹。木曽川沿いの自然環境を持つ。,井深八重（看護師・教育者）、木曽川文化に関わる郷土人物（地域ゆかり）
21502,富加町,中濃圏域,5795,4422,207,3.572044866264021,851052,False,146859.7066436583,649414,KVK富加工場、機械・水栓関連事業所,水栓金具、機械などの製造業と農業が共存。,米、いちご、野菜、味噌加工品。日本最古級の戸籍で知られる。,斎藤市郎左衛門（戦国武将）、半布里戸籍に記された人々（古代史）
21503,川辺町,中濃圏域,9239,7100,330,3.5718151315077393,1328325,False,143773.676804849,1020793,大豊製紙、機械・製造関連事業所,製紙、製造業とダム湖を生かしたボート競技が特徴。,米、茶、しいたけ、野菜。,佐伯富（東洋史学者）、ボート競技選手（川辺町ゆかり）
21504,七宗町,中濃圏域,2873,1429,38,1.3226592412112774,564272,False,196405.1514096763,280663,木材・建材事業者,山林が大部分を占め、林業、木材、建設、福祉サービスが中心。,茶、しいたけ、米、林産物。飛水峡と日本最古の石博物館がある。,飛水峡・上麻生礫岩を研究した地質学者（地域ゆかり）、地域林業の先人（郷土人物）
21505,八百津町,中濃圏域,9241,5514,185,2.001947841142733,1566679,False,169535.6563142517,934820,内堀醸造、味噌平醸造、菓子・食品事業者,酢、味噌、菓子、木材、水力発電など地域資源型産業が特徴。,栗、茶、米、八百津せんべい。杉原千畝記念館も主要資源。,杉原千畝（外交官・八百津ゆかり）、八百津だんじり祭の文化継承者（地域文化）
21506,白川町,中濃圏域,6408,3098,158,2.4656679151061174,963394,False,150342.3845193508,465761,茶・木材関連事業者、地域食品加工事業者,茶、木材、建設、福祉などが中心の山間地域。,白川茶、東濃ひのき、有機農業、しいたけ、米。,藤井丙午（政治家・実業家）、黒川東座の地歌舞伎関係者（地域文化）
21507,東白川村,中濃圏域,1809,911,14,0.7739082365948038,210572,False,116402.4322830293,106043,森林組合・木材事業者、茶生産・加工事業者,森林・木材、茶、建設、地域商業が中心。,白川茶、東濃ひのき、米、野菜。つちのこを活用した地域振興でも知られる。,白川茶・林業の先人（郷土人物）、つちのこ地域振興の関係者（地域ゆかり）
21521,御嵩町,中濃圏域,16503,12578,839,5.0839241350057565,2429191,False,147196.93389080773,1851443,東海化成工業など工業団地事業所、自動車部品関連企業,自動車部品、機械、物流が集積し、中山道の歴史資源も持つ。,舳五山茶、米、野菜。里山保全活動も特徴。,渡辺錠太郎（陸軍軍人）、可児徳（体育学者）
21604,白川村,飛騨圏域,1480,861,37,2.5,756587,False,511207.4324324324,440150,観光・宿泊事業者、水力発電関連事業者,世界遺産白川郷を核とする観光・宿泊業と水力発電、建設が中心。,赤かぶ、米、山菜、そば。合掌造り集落が国際的観光資源。,合掌造り保存に尽力した住民・先人（地域文化）、白川郷を記録した民俗学者（地域ゆかり）
